Lats,Longs
47.37841742,-130.832152
47.37791035,-130.8310428
47.37724248,-130.8295798
47.37667967,-130.828345
47.3755552,-130.8258739
47.37499373,-130.8246382
47.37274956,-130.8196914
47.37218943,-130.8184548
47.37107008,-130.8159798
47.37051133,-130.8147423
47.36604221,-130.8048307
47.36548472,-130.8035925
47.36437037,-130.8011137
47.36381396,-130.799874
47.36158955,-130.7949104
47.36103445,-130.7936698
47.35992518,-130.7911868
47.35937165,-130.7899459
47.35206378,-130.7735405
47.35156633,-130.7724225
47.35057145,-130.7701833
47.35007464,-130.7690635
47.34808786,-130.7645792
47.34759192,-130.7634583
47.34660079,-130.761215
47.34610599,-130.7600935
47.3421472,-130.7511085
47.34165325,-130.749986
47.34066581,-130.7477387
47.34017273,-130.7466149
47.33820132,-130.7421156
